Time,N-S Acceleration (𝑚∕𝑠^2 )(392 m),E-W Acceleration (𝑚∕𝑠^2 ) (392 m),Z Acceleration (𝑚∕𝑠^2 ) (392 m),N-S Acceleration (𝑚∕𝑠^2 ) (494 m),E-W Acceleration (𝑚∕𝑠^2 ) (494 m),Z Acceleration (𝑚∕𝑠^2 ) (494 m),,
07:58:00.260,0.0141184,-0.004794459,-0.004438137,0.018188302,-0.018830441,-0.031311681,,
07:58:00.265,0.014137383,-0.004804018,-0.004446237,0.018216778,-0.018853516,-0.031353331,,
07:58:00.270,0.014156353,-0.004813695,-0.004454432,0.018247348,-0.018877549,-0.031395181,,
07:58:00.275,0.014175519,-0.00482358,-0.004462588,0.018276925,-0.018900964,-0.031437022,,
07:58:00.280,0.01419474,-0.004833565,-0.004470577,0.018305993,-0.018924339,-0.031478781,,
07:58:00.285,0.014213493,-0.004843175,-0.004478804,0.018335652,-0.018948048,-0.031521266,,
07:58:00.290,0.014232729,-0.004853071,-0.004487143,0.018365274,-0.018971627,-0.031562472,,
07:58:00.295,0.014251774,-0.004863034,-0.004495142,0.018394983,-0.018995396,-0.03160445,,
07:58:00.300,0.014271066,-0.004872893,-0.00450318,0.018424044,-0.019018671,-0.031646473,,
07:58:00.305,0.014290563,-0.004882801,-0.004511681,0.018454711,-0.019042327,-0.031688251,,
07:58:00.310,0.014308959,-0.004892504,-0.004519764,0.018484364,-0.019066329,-0.031730876,,
07:58:00.315,0.014328237,-0.004902421,-0.004527733,0.018513225,-0.019089762,-0.031772111,,
07:58:00.320,0.014347955,-0.004912579,-0.004536148,0.018543122,-0.019112962,-0.031814046,,
07:58:00.325,0.014366758,-0.004922328,-0.004544357,0.018572768,-0.01913712,-0.031856118,,
07:58:00.330,0.014385791,-0.004932239,-0.004552349,0.018602591,-0.019160651,-0.031898028,,
07:58:00.335,0.014404947,-0.004941949,-0.004560689,0.018632443,-0.019184142,-0.031940219,,
07:58:00.340,0.014424403,-0.004952156,-0.004569064,0.018662346,-0.019207805,-0.031982091,,
07:58:00.345,0.014443663,-0.004962424,-0.004577036,0.018692073,-0.019231495,-0.032023948,,
07:58:00.350,0.014462198,-0.004972007,-0.004585249,0.018721238,-0.019255231,-0.03206608,,
07:58:00.355,0.014481608,-0.004982277,-0.004593776,0.018750747,-0.019278691,-0.032108616,,
07:58:00.360,0.01450088,-0.004992407,-0.004601859,0.018781403,-0.019302554,-0.032150038,,
07:58:00.365,0.014519559,-0.005002068,-0.004609841,0.018810327,-0.019325994,-0.032191914,,
07:58:00.370,0.014539539,-0.005012132,-0.004618467,0.018840581,-0.019350019,-0.032234484,,
07:58:00.375,0.014558163,-0.005022359,-0.004626676,0.018871172,-0.019374055,-0.032276392,,
07:58:00.380,0.01457711,-0.005032449,-0.004634589,0.018899922,-0.019397248,-0.032318195,,
07:58:00.385,0.014596521,-0.0050423,-0.004643032,0.018929504,-0.019421046,-0.032360557,,
07:58:00.390,0.014616059,-0.005052467,-0.004651555,0.018960573,-0.019445101,-0.032402684,,
07:58:00.395,0.014635626,-0.005062694,-0.004659398,0.018990234,-0.019468376,-0.032444282,,
07:58:00.400,0.01465408,-0.005072552,-0.00466762,0.019018797,-0.019491949,-0.032486683,,
07:58:00.405,0.014673421,-0.005082566,-0.004676232,0.01905014,-0.019516222,-0.032528856,,
07:58:00.410,0.014693014,-0.005092804,-0.004684293,0.019079417,-0.019539895,-0.032570633,,
07:58:00.415,0.014711845,-0.005102765,-0.004692489,0.019108865,-0.019563837,-0.032612741,,
07:58:00.420,0.014731284,-0.005112792,-0.004700998,0.019139392,-0.019587458,-0.032655012,,
07:58:00.425,0.014750275,-0.005122851,-0.004709437,0.019168666,-0.019611213,-0.032697306,,
07:58:00.430,0.014769514,-0.005132962,-0.00471744,0.019198881,-0.019634935,-0.032739927,,
